u,i,label_u,label_name_u,label_i,label_name_i,ts,idx
6777,11070,0,Restaurants,0,Restaurants,347157042.0,0
507,6777,0,Restaurants,0,Restaurants,347159087.0,1
507,11070,0,Restaurants,0,Restaurants,347159087.0,2
2742,7505,0,Restaurants,0,Restaurants,347159135.0,3
12720,8354,0,Restaurants,0,Restaurants,347162476.0,4
4686,13819,1,Food,1,Food,347170231.0,5
14957,1837,2,Shopping,0,Restaurants,347202158.0,6
417,1673,0,Restaurants,0,Restaurants,347203538.0,7
406,1673,0,Restaurants,0,Restaurants,347203940.0,8
406,417,0,Restaurants,0,Restaurants,347203940.0,9
917,406,0,Restaurants,0,Restaurants,347205563.0,10
917,1673,0,Restaurants,0,Restaurants,347205563.0,11
917,417,0,Restaurants,0,Restaurants,347205563.0,12
2964,3269,0,Restaurants,0,Restaurants,347211110.0,13
2925,3269,0,Restaurants,0,Restaurants,347212070.0,14
2925,2964,0,Restaurants,0,Restaurants,347212070.0,15
3388,13886,0,Restaurants,0,Restaurants,347213979.0,16
6094,9313,0,Restaurants,0,Restaurants,347217812.0,17
10742,6094,0,Restaurants,0,Restaurants,347219346.0,18
10742,9313,0,Restaurants,0,Restaurants,347219346.0,19
12268,7450,1,Food,0,Restaurants,347220280.0,20
9961,3763,0,Restaurants,0,Restaurants,347221064.0,21
515,14295,0,Restaurants,0,Restaurants,347223033.0,22
1494,2606,0,Restaurants,0,Restaurants,347226069.0,23
14443,12745,0,Restaurants,0,Restaurants,347226212.0,24
12009,4352,0,Restaurants,0,Restaurants,347227673.0,25
14666,807,0,Restaurants,1,Food,347228201.0,26
11132,14666,0,Restaurants,0,Restaurants,347228528.0,27
11132,807,0,Restaurants,1,Food,347228528.0,28
11999,14666,0,Restaurants,0,Restaurants,347228761.0,29
11999,807,0,Restaurants,1,Food,347228761.0,30
11999,11132,0,Restaurants,0,Restaurants,347228761.0,31
3010,13819,1,Food,1,Food,347231173.0,32
791,15123,1,Food,0,Restaurants,347233572.0,33
1458,15295,0,Restaurants,0,Restaurants,347233590.0,34
